STT,Năm,Tháng,Ngành Hàng,Thương Hiệu,Tên Chiến Dịch,Loại Chiến Dịch (Campaign Type)
38,2026,May,"Others","FPT PLAY","FPT Ngoại Hạng Anh","Sponsor & Event"
39,2026,Apr,"Mom & Baby milk","NAN","NAN Supreme Pro 3 - Mùa Mẫn Cảm Không Sao Mẹ Ơi","Thematic & Brand Building"
40,2026,Apr,"Handhelds","OPPO","OPPO X9 Ultra & Find X9S","Product Launch & Rebranding"
41,2026,Apr,"Handhelds","SAMSUNG","Galaxy A57 5G","Thematic & Brand Building"
42,2026,Apr,"Mom & Baby milk","VINAMILK","Tăng cân bền cao lên rõ","Thematic & Brand Building"
43,2026,Apr,"Alcoholic drink","1664 BLANC","Săn Chạng Vạng cùng 1664 Blanc","Promotion"
44,2026,Apr,"Handhelds","SAMSUNG","Galaxy A37 5G","Thematic & Brand Building"
45,2026,Apr,"F&B","JOLLIBEE","Hoạt động Mở Ra Niềm Vui","Thematic & Brand Building"
46,2026,Apr,"Liquid Milk","MILO","MILO Năng Động Việt Nam","Thematic & Brand Building"
47,2026,Apr,"Handhelds","SAMSUNG","Galaxy S26 Series","Product Launch & Rebranding"
48,2026,Apr,"Personal Care","SUNSILK","Thế Giới Mượt như Sunsilk","Thematic & Brand Building"
49,2026,Apr,"Energy drink","STING","Sting F1","Thematic & Brand Building"
50,2026,Apr,"Corporate","UNILEVER","PHIÊN BẢN GIỚI HẠN FIFA WORLD CUP 2026","Product Launch & Rebranding"
51,2026,Apr,"Liquid Milk","MILO","Milo A2 Promotion","Promotion"
52,2026,Apr,"Mom & Baby milk","PEDIASURE","PediaSure campaign WOM","Thematic & Brand Building"
53,2026,Apr,"Non-alcoholic drink","LAVIE","Căng Thẳng Thì Chạy, Sao Phải Kiềm","Thematic & Brand Building"
54,2026,Apr,"Mom & Baby milk","COLOSBABY","ĐỀ KHÁNG KỀ VAI – ĐỂ MẸ XẢ VIBE​","Thematic & Brand Building"
55,2026,Mar,"Handhelds","SAMSUNG","Galaxy S26 Series","Product Launch & Rebranding"
56,2026,Mar,"Personal Care","P/S","P/S Diện Mạo Mới","Product Launch & Rebranding"
57,2026,Mar,"Personal Care","KOTEX","Yêu chiều nữ xíu","Thematic & Brand Building"
58,2026,Mar,"Mom & Baby milk","NAN","NAN Supreme Pro 3 - Mùa Mẫn Cảm Không Sao Mẹ Ơi","Thematic & Brand Building"
59,2026,Mar,"Real Estate","VĂN PHÚ","Muôn Vị Nhân Sinh","Thematic & Brand Building"
60,2026,Mar,"Handhelds","SAMSUNG","Galaxy A57 5G","Thematic & Brand Building"
61,2026,Mar,"Mom & Baby milk","COLOSBABY","Colosbbay Lactoferrin","Thematic & Brand Building"
62,2026,Mar,"Home Care","VIM","Vim Xịt Xịt Xả - Sa Thải Vi Khuẩn","Thematic & Brand Building"
63,2026,Mar,"Energy drink","RED BULL","Không Tập trung, Không Lối Thoát","Promotion"
64,2026,Mar,"F&B","JOLLIBEE","Mở Ra Niềm Vui","Thematic & Brand Building"
65,2026,Mar,"Mom & Baby milk","VINAMILK","Phiên bản giới hạn Mùa Lễ Hội","Product Launch & Rebranding"
66,2026,Mar,"Handhelds","SAMSUNG","Galaxy A37 5G","Thematic & Brand Building"
67,2026,Mar,"Alcoholic drink","BIA SAIGON","Một Lời Mời, Tỏa Tết Lớn","Thematic & Brand Building"
68,2026,Mar,"Handhelds","SAMSUNG","Galaxy Buds 4 Series","Product Launch & Rebranding"
69,2026,Feb,"Handhelds","SAMSUNG","Galaxy S26","Product Launch & Rebranding"
70,2026,Feb,"Non-alcoholic drink","PEPSI","Mang Tết Về Nhà","Thematic & Brand Building"
71,2026,Feb,"Alcoholic drink","LARUE","Đón Điều Mới, Mở Tết Tấn Tới","Product Launch & Rebranding"
72,2026,Feb,"Alcoholic drink","HEINEKEN","Mở Kết Nối Thật, Tết Bật Heineken","Thematic & Brand Building"
73,2026,Feb,"Home Care","OMO","Nảy Vận Lộc Tết","Thematic & Brand Building"
74,2026,Feb,"Adult powder milk","ENSURE","Trao Quà Sức Khỏe Vàng","CSR & Sustainability"
75,2026,Feb,"Alcoholic drink","BIA SAIGON","Tỏa Tết Lớn","Thematic & Brand Building"
76,2026,Feb,"Retailers/E-commerce","TIKTOK SHOP","Sắm Tết Bao Vui","Thematic & Brand Building"
77,2026,Feb,"Other Single industries","NESTLE CORPORATE","Cầu Gì Hơn Phút Giây Này Bên Nhau","Thematic & Brand Building"
78,2026,Feb,"Liquid Milk","MILO","Bộ Ba Lợi Thế","Thematic & Brand Building"
79,2026,Feb,"Alcoholic drink","BIA SAIGON","Tết Muôn Vẻ, Thêm Đậm Đà","Thematic & Brand Building"
80,2026,Feb,"Handhelds","SAMSUNG","Galaxy Buds 4 Series","Product Launch & Rebranding"
81,2026,Feb,"Alcoholic drink","TUBORG","Giật Nắp Lên Vận, Năm Mới Lên Vận","Product Launch & Rebranding"
82,2026,Feb,"Insurance","PRUDENTIAL","Triệu Kết Nối - Đón Yên Tâm Mới","Product Launch & Rebranding"
83,2026,Feb,"Alcoholic drink","TIGER","Khai Xuân Bản Lĩnh","Thematic & Brand Building"
84,2026,Jan,"Personal Care","LIFEBUOY","Tết Vỗ Về","Thematic & Brand Building"
85,2026,Jan,"Non-alcoholic drink","PEPSI","Pepsi Mang Tết Về Nhà","Thematic & Brand Building"
86,2026,Jan,"Handhelds","OPPO","OPPO Reno15","Thematic & Brand Building"
87,2026,Jan,"Personal Care","P/S","Cộng Một Nụ Cười Trừ Ngàn Khoảng Cách","Thematic & Brand Building"
88,2026,Jan,"Alcoholic drink","TIGER","Khai Xuân Bản Lĩnh","Thematic & Brand Building"
89,2026,Jan,"Alcoholic drink","BIA VIỆT","Tết Đậm Chất Việt","Thematic & Brand Building"
90,2026,Jan,"Other Single industries","NESTLÉ","Cầu Gì Hơn Phút Giây Này Bên Nhau","Thematic & Brand Building"
91,2026,Jan,"Apparel & Footwear","BITIS HUNTER","Bước Tới Tết Mới","Product Launch & Rebranding"
92,2026,Jan,"Non-alcoholic drink","COCA-COLA","Bật Hứng Khởi Dệt Nên Tết Mới","Product Launch & Rebranding"
93,2026,Jan,"Personal Care","HAZELINE","Khởi sáng lên hương","Thematic & Brand Building"
94,2026,Jan,"Alcoholic drink","LARUE","Đón Điều Mới Mở Tết Tấn Tới","Product Launch & Rebranding"
95,2026,Jan,"Alcoholic drink","BUDWEISER","Bật Nắp Tết Đỏ, Mừng Mọi Bước Tiến","Thematic & Brand Building"
96,2026,Jan,"Home cooking & Seasonings","KNORR","Vạn sự khởi đầu ngon","Thematic & Brand Building"
97,2026,Jan,"Alcoholic drink","BIVINA","Diện Mạo Tết, Đón Lộc Biển Về","Thematic & Brand Building"
98,2026,Jan,"Khác","KHÁC","STRONGBOW_Strongbow Sparkling - Tiệc Chill Đúng Điệu","Thematic & Brand Building"
99,2026,Jan,"Personal Care","CLOSEUP","Mong Năm Mới Trải Hoa","Product Launch & Rebranding"
100,2026,Jan,"Home Care","OMO","Gieo Triệu Mầm Xanh, Phủ Vạn Cánh Rừng","CSR & Sustainability"
101,2026,Jan,"Energy drink","STING","Dám Rượt Tết","Thematic & Brand Building"
102,2026,Jan,"Alcoholic drink","HEINEKEN","Heineken - Tết Bật Heineken","Thematic & Brand Building"
103,2026,Jan,"Home Care","SUNLIGHT","Dọn Nhà Đón Tết","Thematic & Brand Building"
104,2026,Jan,"Retailers/E-commerce","ĐIỆN MÁY XANH","Tết Free Mã","Promotion"
105,2026,Jan,"Non-alcoholic drink","LAVIE","Trào Quà Chúc Yên Cả Năm Tích Cực","Thematic & Brand Building"
106,2026,Jan,"Handhelds","VIVO","Cùng vivo gọi Tết về","Thematic & Brand Building"
107,2025,Nov,"Handhelds","OPPO","Ra mắt Oppo Find X9","Product Launch & Rebranding"
108,2025,Nov,"F&B","JOLLIBEE","Sinh nhật Jollibee 20 tuổi","Thematic & Brand Building"
109,2025,Nov,"Liquid Milk","MILO","Chuỗi hoạt động Đồng diễn Võ nhạc Vovinam & EduRun 2025","Thematic & Brand Building"
110,2025,Nov,"Alcoholic drink","BIA HÀ NỘI","Lễ hội Bia Hà Nội 2025","Sponsor & Event"
111,2025,Nov,"Entertainment","TV360","Giải Thể Thao Sinh Viên Toàn Quốc Năm 2025 – Cúp TV360","Thematic & Brand Building"
112,2025,Nov,"Mom & Baby milk","VINAMILK","Sữa đặc Ông Thọ - Càng Rưới Càng Kết","Thematic & Brand Building"
113,2025,Nov,"Handhelds","SAMSUNG","Galaxy A56 5G","Thematic & Brand Building"
114,2025,Nov,"Mom & Baby milk","VINAMILK","Sữa tươi Vinamilk 100% - Clean Label Project","Thematic & Brand Building"
115,2025,Nov,"Handhelds","SAMSUNG","Galaxy S25 FE","Thematic & Brand Building"
116,2025,Nov,"Medicine & Pharmaceutical","LONG CHÂU","Dự phòng chủ động - tương lai vững vàng","Thematic & Brand Building"
117,2025,Nov,"Alcoholic drink","HEINEKEN","Heineken Silver Alu - Êm Chất Thời Thượng","Thematic & Brand Building"
118,2025,Nov,"Non-alcoholic drink","PEPSI","Pepsi Meal","Thematic & Brand Building"
119,2025,Nov,"Mom & Baby milk","PEDIASURE","Pediasure WOW Campaign","Thematic & Brand Building"
120,2025,Nov,"Insurance","MANULIFE","Chọn Xanh Cho Khỏe","Thematic & Brand Building"
121,2025,Nov,"Mom & Baby milk","NUTIFOOD","Nâng bật con vẽ chuyện lớn","Thematic & Brand Building"
122,2025,Nov,"Mom & Baby milk","VINAMILK","Optimum thematic","Thematic & Brand Building"
123,2025,Nov,"Mom & Baby milk","VINAMILK","Sữa đặc Creamer","Thematic & Brand Building"
124,2025,Oct,"Mom & Baby milk","VINAMILK","Optimum Thematic ""Nhà nào cũng có mẹ""","Thematic & Brand Building"
125,2025,Oct,"Alcoholic drink","TIGER","Tiger Street Football 2025","Thematic & Brand Building"
126,2025,Oct,"Handhelds","OPPO","Oppo Find X9","Product Launch & Rebranding"
127,2025,Oct,"Banking","VPBANK","G-DRAGON 2025 WORLD TOUR [Übermensch] IN HANOI, presented by VPBank","Thematic & Brand Building"
128,2025,Oct,"Alcoholic drink","HEINEKEN","Heineken Silver Alu - Êm Chất Thời Thượng","Thematic & Brand Building"
129,2025,Oct,"Alcoholic drink","BIA SAIGON","150 Năm Di Sản","Thematic & Brand Building"
130,2025,Oct,"Food","KINH ĐÔ","Trọn Một Ngày Sum Vầy, Sáng Mãi Chuyện Đêm Trăng","Thematic & Brand Building"
131,2025,Oct,"Entertainment","TV360","Giải Thể Thao Sinh Viên Toàn Quốc Năm 2025 – Cúp TV360","Thematic & Brand Building"
132,2025,Oct,"Handhelds","SAMSUNG","Galaxy A56 5G","Thematic & Brand Building"
133,2025,Oct,"Alcoholic drink","LARUE","Bật Nắp Larue - Mở Khoảnh Khắc Vàng","Thematic & Brand Building"
134,2025,Oct,"Handhelds","HONOR","Honor Magic V5","Thematic & Brand Building"
135,2025,Oct,"Energy drink","STING","Dám Nghĩ Dám Làm","Thematic & Brand Building"
136,2025,Oct,"Energy drink","ROCKSTAR","Đấu Trường Mạnh Bền","Thematic & Brand Building"
137,2025,Oct,"Apparel & Footwear","HAPAS","20.10 Collection","Thematic & Brand Building"
138,2025,Oct,"Home Care","CHANTÉ","Chanté X Vietnam Next Top Model 2025","Thematic & Brand Building"
139,2025,Sep,"Others","TW ĐOÀN TNCS HỒ CHÍ MINH","Tự Hào Việt Nam","Sponsor & Event"
140,2025,Sep,"Energy drink","RED BULL","Bản lĩnh tới cùng - Húc tới đi","Thematic & Brand Building"
141,2025,Sep,"Alcoholic drink","TIGER","Tiger Street Football 2025","Thematic & Brand Building"
142,2025,Sep,"Food","KINH ĐÔ","Trọn một ngày sum vầy, sáng mãi chuyện đêm trăng","Thematic & Brand Building"
143,2025,Sep,"Others","KENH14.VN","Fandom Yêu Nước","Sponsor & Event"
144,2025,Sep,"Automobile","VINFAST","Chuyển xanh chọn VinFast","CSR & Sustainability"
145,2025,Sep,"Insurance","MANULIFE","Chọn Xanh cho Khỏe","Thematic & Brand Building"
146,2025,Sep,"Personal Care","SIMPLE","Simple Supernova","Thematic & Brand Building"
147,2025,Sep,"Handhelds","SAMSUNG","Galaxy S25 FE","Thematic & Brand Building"
148,2025,Sep,"Energy drink","STING","Sting - Dám Nghĩ dám làm","Thematic & Brand Building"
149,2025,Sep,"Medicine & Pharmaceutical","LONG CHÂU","#PhongBenhBangTiemPhongChuDong","Thematic & Brand Building"
150,2025,Sep,"Alcoholic drink","BIA VIỆT","BIA VIỆT PROMOTION Q3","Promotion"
151,2025,Sep,"Adult powder milk","ENSURE","Vu Lan 2025","Thematic & Brand Building"
152,2025,Sep,"Handhelds","SAMSUNG","Galaxy A56 5G","Thematic & Brand Building"
153,2025,Sep,"Handhelds","SAMSUNG","Galaxy A17","Thematic & Brand Building"
154,2025,Sep,"Mom & Baby milk","VINAMILK","Optimum thematic","Thematic & Brand Building"
155,2025,Aug,"Others","TW ĐOÀN TNCS HỒ CHÍ MINH","Tự hào Việt Nam","Sponsor & Event"
156,2025,Aug,"Others","KENH14.VN","Fandom Yêu Nước","Sponsor & Event"
157,2025,Aug,"Energy drink","RED BULL","Bản lĩnh tới cùng - Húc tới đi","Thematic & Brand Building"
158,2025,Aug,"Handhelds","SAMSUNG","Galaxy Z Fold 7|Z Flip 7","Thematic & Brand Building"
159,2025,Aug,"Energy drink","WARRIOR","Ngon Hết Nấc - Vui Hết Cỡ","Thematic & Brand Building"
160,2025,Aug,"Home Care","OMO","Chơi là chất Ngại gì bẩn","Thematic & Brand Building"
161,2025,Aug,"Mom & Baby milk","VINAMILK","Kết Từ Nết Bụng","Thematic & Brand Building"
162,2025,Aug,"Insurance","MANULIFE","Chọn Xanh cho Khỏe","Thematic & Brand Building"
163,2025,Aug,"Alcoholic drink","BIA SAIGON","Bia Saigon Dragon Cup 2025","Thematic & Brand Building"
164,2025,Aug,"Handhelds","VIVO","VIVO V60 5G","Thematic & Brand Building"
165,2025,Aug,"Liquid Milk","MILO","MILO Việt Nam - 30 năm đồng hành","Thematic & Brand Building"
166,2025,Aug,"Snack Foods","LAY'S","Có Lay's Cuốn, Vui Trọn Vẹn","Thematic & Brand Building"
167,2025,Aug,"Alcoholic drink","HEINEKEN","Heineken 0.0 Thematic","Thematic & Brand Building"
168,2025,Aug,"Mom & Baby milk","VINAMILK","Green Farm SCU/SCA","Thematic & Brand Building"
169,2025,Aug,"Energy drink","RED BULL","Red Bull Extra","Thematic & Brand Building"
170,2025,Aug,"Alcoholic drink","LARUE","LARUE THEMATIC 2025","Thematic & Brand Building"
171,2025,Aug,"Alcoholic drink","LARUE","LARUE SUMMER PROMO Q2 2025","Promotion"
172,2025,Jul,"Handhelds","OPPO","Oppo Reno 14 series","Product Launch & Rebranding"
173,2025,Jul,"Handhelds","SAMSUNG","Galaxy Z Fold7| Z Flip7","Thematic & Brand Building"
174,2025,Jul,"Alcoholic drink","SOMERSBY","Khỏi Rườm Rà, Ngon Quá Đã","Thematic & Brand Building"
175,2025,Jul,"Energy drink","RED BULL","Bản lĩnh tới cùng - Húc tới đi","Thematic & Brand Building"
176,2025,Jul,"Alcoholic drink","TUBORG","Săn Thêm Nắp Trúng Gắp Trăm","Promotion"
177,2025,Jul,"Handhelds","SAMSUNG","Galaxy A36 A56 5G","Thematic & Brand Building"
178,2025,Jul,"Cosmeceuticals","L'ORÉAL PARIS","Peel Hồng Sáng Da","Thematic & Brand Building"
179,2025,Jul,"Medicine & Pharmaceutical","LONG CHÂU","Vì Một Thẻ Hệ Trẻ Không Ung Thư Do HPV","CSR & Sustainability"
180,2025,Jul,"Home Care","OMO","Chơi là chất Ngại gì bẩn","Thematic & Brand Building"
181,2025,Jul,"Snack Foods","LAY'S","Có Lay's Cuốn, Vui Trọn Vẹn","Thematic & Brand Building"
182,2025,Jul,"Energy drink","WARRIOR","Ngon Hết Nấc - Vui Hết Cỡ","Thematic & Brand Building"
183,2025,Jul,"Automobile","VINFAST","Mãnh Liệt Tinh Thần Việt Nam","Thematic & Brand Building"
184,2025,Jul,"F&B","KFC","KFC Zestival - Unlock Your Summer Taste","Thematic & Brand Building"
185,2025,Jul,"Alcoholic drink","TIGER","Tiger Crystal Hero Engagement","Thematic & Brand Building"
186,2025,Jul,"Handhelds","SAMSUNG","Galaxy Watch8","Thematic & Brand Building"
187,2025,Jul,"Non-alcoholic drink","MIRINDA","Lập Tụ Siêu Vui","Thematic & Brand Building"
188,2025,Jul,"Liquid Milk","KUN","Mùa hè sáng tạo cùng Kun","Thematic & Brand Building"
189,2025,Jun,"Banking","VPBANK","Concert ""VPBank K-Star Park in Vietnam""","Sponsor & Event"
190,2025,Jun,"Handhelds","OPPO","OPPO Reno14 Series","Product Launch & Rebranding"
191,2025,Jun,"Alcoholic drink","BUDWEISER","Quét Mã QR - Thắng Chuyến đi Mỹ xem FFCWC 2025","Promotion"
192,2025,Jun,"Energy drink","RED BULL","Bản Lĩnh Tới Cùng - Húc Tới Đi!","Thematic & Brand Building"
193,2025,Jun,"Non-alcoholic drink","SPRITE","Lễ hội biển Sprite Cool Thứ Thiệt","Sponsor & Event"
194,2025,Jun,"Non-alcoholic drink","LAVIE","Yên một chút - Jun 2025","Thematic & Brand Building"
195,2025,Jun,"Handhelds","SAMSUNG","Galaxy A56 5G | A36 5G","Thematic & Brand Building"
196,2025,Jun,"Medicine & Pharmaceutical","LONG CHÂU","#VìMộtThếHệTrẻKhôngUngThưDoHPV","CSR & Sustainability"
197,2025,Jun,"Non-alcoholic drink","COCA-COLA","Tu Cai Ten Minh Ket Noi","Thematic & Brand Building"
198,2025,Jun,"Energy drink","STING","Bật Năng Lượng Tạo Dấu Ấn","Thematic & Brand Building"
199,2025,Jun,"Alcoholic drink","TIGER","Tiger Crystal Rave 2025","Thematic & Brand Building"
200,2025,Jun,"Energy drink","STING","Cú Hích Việt Quất","Thematic & Brand Building"
201,2025,Jun,"Handhelds","VIVO","Vivo V50 Lite","Thematic & Brand Building"
202,2025,Jun,"Non-alcoholic drink","TEA+","TEA+ Trạm tươi mát","Thematic & Brand Building"
203,2025,Jun,"Alcoholic drink","LARUE","Summer Event Colorfest 2025","Sponsor & Event"
204,2025,Jun,"Alcoholic drink","BIA VIỆT","Bia Việt Summer 2025","Thematic & Brand Building"
205,2025,Jun,"Handhelds","SAMSUNG","Galaxy S25 Edge","Thematic & Brand Building"
206,2025,Jun,"Non-alcoholic drink","PEPSI","Love Hate Summer","Thematic & Brand Building"
207,2025,Jun,"Non-alcoholic drink","PEPSI","Pepsi x Tan Binh Toan Nang","Thematic & Brand Building"
208,2025,Jun,"Snack Foods","LAY'S","Lay's x Tân Binh Toàn Năng","Thematic & Brand Building"
209,2025,May,"Banking","VPBANK","Đại nhạc hội VPBank K-Star Spark Mega Concert","Sponsor & Event"
210,2025,May,"Alcoholic drink","TIGER","Tiger Crystal Rave 2025","Thematic & Brand Building"
211,2025,May,"Energy drink","RED BULL","Bản lĩnh tới cùng - Húc tới đi","Thematic & Brand Building"
212,2025,May,"Energy drink","STING","Cú Hích Việt Quất","Thematic & Brand Building"
213,2025,May,"Alcoholic drink","1664 BLANC","Bật Xanh Mở Gu Chất","Thematic & Brand Building"
214,2025,May,"Non-alcoholic drink","LAVIE","Yên một chút","Thematic & Brand Building"
215,2025,May,"Handhelds","SAMSUNG","Galaxy S25 Edge","Thematic & Brand Building"
216,2025,May,"Alcoholic drink","BUDWEISER","Budweiser Summer 2025","Thematic & Brand Building"
217,2025,May,"Medicine & Pharmaceutical","LONG CHÂU","Vì Một Thế Hệ Trẻ Không Ung Thư Do HPV","CSR & Sustainability"
218,2025,May,"Handhelds","SAMSUNG","Galaxy A56 5G | A36 5G","Thematic & Brand Building"
219,2025,May,"Home Care","VIM","VIM BLOCK - COMEOUT NGHIỆN CẦU, NGHIỆN CẦU KHÔNG XÍ HỔ!","Thematic & Brand Building"
220,2025,May,"Energy drink","STING","Bật Năng Lượng Tạo Dấu Ấn","Thematic & Brand Building"
221,2025,May,"Alcoholic drink","HEINEKEN","Heineken UCL 2025","Thematic & Brand Building"
222,2025,May,"Others","TW ĐOÀN TNCS HỒ CHÍ MINH","Chiến dịch Hòa Bình Đẹp Lắm","Sponsor & Event"
223,2025,May,"Non-alcoholic drink","PEPSI","Love Hate Summer","Thematic & Brand Building"
224,2025,May,"Alcoholic drink","BIA SAIGON","Hành Trình Hạnh Phúc","Thematic & Brand Building"
225,2025,May,"Games","GARENA LIÊN QUÂN","Đấu Trường Danh Vọng 2025","Thematic & Brand Building"
226,2025,May,"Non-alcoholic drink","COCA-COLA","Từ Cái Tên Mình Kết Nối","Thematic & Brand Building"
227,2025,May,"Insurance","DAI-ICHI LIFE","Kết nối Triệu Yêu Thương","Thematic & Brand Building"
228,2025,Apr,"Others","TW ĐOÀN TNCS HỒ CHÍ MINH","Chiến dịch Hòa Bình Đẹp Lắm","Sponsor & Event"
229,2025,Apr,"Non-alcoholic drink","COCA-COLA","Từ cái tên mình kết nối","Thematic & Brand Building"
230,2025,Apr,"Alcoholic drink","1664 BLANC","Bật Xanh Mở Gu Chất","Thematic & Brand Building"
231,2025,Apr,"Alcoholic drink","HEINEKEN","Nâng Heineken vì fan đích thực (HNK UCL)","Thematic & Brand Building"
232,2025,Apr,"Automobile","BYD","BYD Sealion 6","Thematic & Brand Building"
233,2025,Apr,"Mom & Baby milk","VINAMILK","Dielac Grow Plus Rebranding","Product Launch & Rebranding"
234,2025,Apr,"Other milk based product","MALTO","SHAKE IT OFF","Thematic & Brand Building"
235,2025,Apr,"Mom & Baby milk","VINAMILK","Dielac Gold Rebranding","Product Launch & Rebranding"
236,2025,Apr,"Energy drink","STING","Cú Hích Việt Quất","Thematic & Brand Building"
237,2025,Apr,"Mom & Baby milk","VINAMILK","Optimum Gold Rebranding","Product Launch & Rebranding"
238,2025,Apr,"Handhelds","SAMSUNG","Galaxy A56 5G | A36 5G","Thematic & Brand Building"
239,2025,Apr,"Banking","VPBANK","Phiên NEO thịnh vượng","Thematic & Brand Building"
240,2025,Apr,"Handhelds","VIVO","vivo V50 Lite","Thematic & Brand Building"
241,2025,Apr,"Handhelds","SAMSUNG","Galaxy S25 Series","Product Launch & Rebranding"
242,2025,Apr,"Alcoholic drink","HEINEKEN","HNK CA Water Balance 2025","Thematic & Brand Building"
243,2025,Apr,"Corporate","VINGROUP","Thứ 4 Ngày Xanh","Thematic & Brand Building"
244,2025,Apr,"Non-alcoholic drink","SPRITE","Khuyến mại Cool Thứ Thiệt","Thematic & Brand Building"
245,2025,Mar,"Personal Care","KOTEX","Anh Trai Good Night","Sponsor & Event"
246,2025,Mar,"Handhelds","SAMSUNG","Samsung Galaxy A56 | A36","Thematic & Brand Building"
247,2025,Mar,"Mom & Baby milk","VINAMILK","Dielac Grow Plus Rebranding","Product Launch & Rebranding"
248,2025,Mar,"Home cooking & Seasonings","SIMPLY","Đầu tư cho trái tim (MV)","Thematic & Brand Building"
249,2025,Mar,"Mom & Baby milk","VINAMILK","Optimum Gold Rebranding","Product Launch & Rebranding"
250,2025,Mar,"Mom & Baby milk","VINAMILK","Optimum Colos Rebranding","Product Launch & Rebranding"
251,2025,Mar,"Handhelds","VIVO","Vivo Y29","Thematic & Brand Building"
252,2025,Mar,"Handhelds","OPPO","Oppo A5 Series","Product Launch & Rebranding"
253,2025,Mar,"Mom & Baby milk","VINAMILK","Dielac Alpha Rebranding","Product Launch & Rebranding"
254,2025,Mar,"Handhelds","SAMSUNG","Galaxy S25 series","Product Launch & Rebranding"
